DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
221912349,2022-07-11,2020-10-14,1010,Mission,THEFT OF IDENTITY,55,F,F,,Invest Cont,14600    TUNDRA                       DR
221912361,2022-07-24,2020-02-24,1200,Mission,THEFT OF IDENTITY,42,M,B,,Invest Cont,8500    COLUMBUS                     AV
221011912,2022-07-22,2020-11-01,0001,West Valley,THEFT OF IDENTITY,76,M,O,,Invest Cont,6500    RESEDA                       BL
221512570,2022-07-18,2020-10-27,1615,N Hollywood,THEFT OF IDENTITY,52,M,W,,Invest Cont,5100    BAKMAN                       AV
221512634,2022-07-22,2020-11-01,1200,N Hollywood,THEFT OF IDENTITY,47,F,B,,Invest Cont,11200    PEACH GROVE                  ST
221216017,2022-07-05,2020-03-02,0001,77th Street,THEFT OF IDENTITY,42,M,H,,Invest Cont,1500 W  52ND                         ST
221216190,2022-07-12,2020-08-13,0100,77th Street,THEFT OF IDENTITY,51,F,B,,Invest Cont,4600 S  WESTERN                      AV
221011873,2022-07-21,2020-11-01,1200,West Valley,THEFT OF IDENTITY,76,M,O,,Invest Cont,6500    RESEDA                       BL
220314618,2022-08-03,2020-03-10,0001,Southwest,THEFT OF IDENTITY,71,F,B,,Invest Cont,4100    GARTHWAITE                   AV
220813413,2022-08-17,2020-03-17,1555,West LA,THEFT OF IDENTITY,56,M,A,,Invest Cont,1500 S  BUNDY                        DR
221218085,2022-08-08,2020-01-01,1200,77th Street,THEFT OF IDENTITY,42,M,O,,Invest Cont,10500 S  MANHATTAN                    PL
222112528,2022-08-02,2020-11-11,1455,Topanga,THEFT OF IDENTITY,23,M,O,,Invest Cont,5300    DE ROJA                      AV
221611162,2022-08-06,2020-07-26,0001,Foothill,THEFT OF IDENTITY,36,M,H,,Invest Cont,11100    LULL                         ST
220512024,2022-08-01,2020-08-11,1200,Harbor,THEFT OF IDENTITY,35,M,B,,Invest Cont,1600 W  PACIFIC COAST                HY
"221217989,2022-08-19,2020-04-27,1200,77th Street,""BUNCO, GRAND THEFT"",54,M,B,,Invest Cont,1000 W  67TH                         ST"
221217696,2022-08-13,2020-12-01,1605,77th Street,THEFT OF IDENTITY,56,M,H,,Invest Cont,100 E  73RD                         ST
220315466,2022-08-21,2020-08-20,1330,Southwest,BURGLARY FROM VEHICLE,29,F,H,,Invest Cont,3800    SANTA ROSALIA                DR
220412117,2022-08-15,2020-06-03,0005,Hollenbeck,THEFT OF IDENTITY,34,F,K,,Invest Cont,4700    TEMPLETON                    ST
222013904,2022-07-13,2020-07-05,1640,Olympic,THEFT OF IDENTITY,70,M,W,,Invest Cont,900 S  SERRANO                      AV
220813395,2022-08-17,2020-11-22,1300,West LA,DOCUMENT FORGERY / STOLEN FELONY,63,F,W,,Invest Cont,1200    BROCKTON                     AV
220813389,2022-08-17,2020-07-24,0730,West LA,THEFT OF IDENTITY,59,F,W,,Invest Cont,2200    GREENFIELD                   AV
220315349,2022-08-17,2020-10-18,2033,Southwest,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,X,X,,Invest Cont,4000 S  WESTERN                      AV
221513571,2022-08-15,2020-08-25,1200,N Hollywood,THREATENING PHONE CALLS/LETTERS,23,M,W,VERBAL THREAT,Invest Cont,11400    SUNSHINE                     TR
221611597,2022-08-19,2020-01-01,0001,Foothill,THEFT OF IDENTITY,22,F,H,,Invest Cont,10200    TELFAIR                      AV
"220912439,2022-08-10,2020-12-27,0900,Van Nuys,INTIMATE PARTNER - AGGRAVATED ASSAULT,48,M,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,14800    OTSEGO                       ST"
221513720,2022-08-17,2020-11-08,1010,N Hollywood,THEFT OF IDENTITY,27,M,W,,Invest Cont,11700    VANOWEN                      ST
220713064,2022-08-19,2020-02-28,1020,Wilshire,THEFT OF IDENTITY,31,F,B,,Invest Cont,5100 W  20TH                         ST
221218637,2022-07-12,2020-08-01,1200,77th Street,BURGLARY,38,M,W,,Invest Cont,5000    DENKER                       AV
221611890,2022-08-30,2020-02-09,0001,Foothill,THEFT OF IDENTITY,23,F,H,,Invest Cont,12300    OSBORNE                      ST
220316030,2022-08-30,2020-08-30,1625,Southwest,THEFT OF IDENTITY,41,F,W,,Invest Cont,1000 W  23RD                         ST
"221316784,2022-08-29,2020-09-10,1200,Newton,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",73,M,W,,Invest Cont,1300    NEWTON                       ST"
"221612433,2022-09-15,2020-12-03,0800,Foothill,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",74,M,W,,Invest Cont,11800    PEORIA                       ST"
